wallet,mint,sample_group,first_buy_tx,first_buy_time,last_sell_time,realized_pnl_sol,realized_roi,holding_seconds,entry_label,holding_label,exit_label,pre_5m_return,pre_20m_return,pre_5m_volume_spike,entry_range_position,max_runup_during_holding,max_drawdown_during_holding,exit_efficiency,post_exit_20m_return,kline_file
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,G76fNn6QnTtQCWtGUKA4H9yQ6YNMn4aPSAeQxb9Jpump,profit,3iyR7uNxPKmCBbozf8kjXroQiZAq7FYNp4MJoaahrdgsJ2sjMBBtb62e4kjE5wLapnBfddJ3VGTkweC93K5cujHj,2026-04-29T01:38:51+00:00,2026-04-29T01:44:49+00:00,0.678311137,1.357027000,358,breakout_volume_entry,large_drawdown_tolerated,efficient_take_profit,1.222319521,2.040606967,17.621515976,0.817713052,1.481653368,-0.364327260,0.935327741,0.383612239,data/strategy_research/wallets/55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr/klines/G76fNn6QnTtQCWtGUKA4H9yQ6YNMn4aPSAeQxb9Jpump_1m_1777425531_1777428289.json
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,9zr5VVFzpgUf9wnk2a9bkgdZxNXkPJ7XoJXuBidSpump,profit,2thTKZ4okJWDTxDUfZeMrUyxLcsbdNRp6GytFoCRwkxGBy31Rtz2K8vgbiLLXqQu4ADinKgju39QP3cga6b2mX4q,2026-04-29T01:43:13+00:00,2026-04-29T01:43:27+00:00,0.063118425,0.126237000,14,unclear_entry,large_drawdown_tolerated,efficient_take_profit,0.478947614,0.478947614,0.418630554,0.449730411,0.227744682,-0.324387127,0.814501594,-0.532601364,data/strategy_research/wallets/55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr/klines/9zr5VVFzpgUf9wnk2a9bkgdZxNXkPJ7XoJXuBidSpump_1m_1777425793_1777428207.json
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,AZcVDsjNw2vXgNn34W7aRF49aRtSeKZT5BAN3V5cpump,profit,67TgxEcuG4SRRLvz1t8AyafWB38qx1oiAaFZzJtcMxfZTjodVwA5y6QDLruCb9TT8gP9hx8bVsbJrhinUNLs83Nn,2026-04-29T01:44:28+00:00,2026-04-29T01:45:01+00:00,0.004953845,0.009023000,33,high_range_entry,large_drawdown_tolerated,pullback_take_profit,0.071527059,0.071527059,1.584418243,0.766908453,0.017957588,-0.426009521,0.572902790,-0.006471505,data/strategy_research/wallets/55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr/klines/AZcVDsjNw2vXgNn34W7aRF49aRtSeKZT5BAN3V5cpump_1m_1777425868_1777428301.json
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,5nYVDeouoW7ahb1svHewcDcRzexezCmWqJdk4PsApump,profit,48wnAnec773KW5iYbjg9pKDZjVC9rmpThexJ1d6woAoGACnBc3iJjJzZCAo8neTwHyEHdqhg4dqkhd1VN8LUaHWx,2026-04-29T01:47:17+00:00,2026-04-29T01:48:34+00:00,0.176023116,0.329229000,77,high_range_entry,fast_runup_holding,efficient_take_profit,,,,0.877198732,0.744562191,-0.668280908,0.993789083,-0.415278584,data/strategy_research/wallets/55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr/klines/5nYVDeouoW7ahb1svHewcDcRzexezCmWqJdk4PsApump_1m_1777426037_1777428514.json
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,2L33pPAAJkAR23KWv7mR2k2F9KKYhpWt7k2ArwYmpump,profit,3aSdDWKBQNYTw47hbdSK8zwgqqsNJyt8HL9TcUvbsibrQYJTAwcVP56vCvGMk7EiD7ZD9t8Qnt358jyydddnqtJk,2026-04-29T01:48:02+00:00,2026-04-29T01:48:23+00:00,0.019889508,0.037195000,21,breakout_volume_entry,fast_runup_holding,pullback_take_profit,-0.530948845,-0.530948845,3.570940107,0.049319584,2.482512656,0.000000000,0.287148992,-0.125390019,data/strategy_research/wallets/55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr/klines/2L33pPAAJkAR23KWv7mR2k2F9KKYhpWt7k2ArwYmpump_1m_1777426082_1777428503.json
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,HqdKyNo2A6852hnYxG8Vfi7jf2n1mgUgBqwBqoUzpump,profit,4ixFhuHB9gC36oS8Fa6Q7G6LMNEt9qW3i76NcwKWVgLXhzB1xbxCwVjdzrXkfe1gAFaiT4PA7YUwW2oEzVFWwGeE,2026-04-29T01:51:00+00:00,2026-04-29T01:51:47+00:00,0.070260853,0.140522000,47,unclear_entry,very_short_holding,efficient_take_profit,0.043276466,0.043276466,0.606950755,0.470528613,0.017652830,-0.186359717,0.982653387,-0.161192122,data/strategy_research/wallets/55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr/klines/HqdKyNo2A6852hnYxG8Vfi7jf2n1mgUgBqwBqoUzpump_1m_1777426260_1777428707.json
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,6sN3E4Dk1ZNn1spRcTvvNbfHsxGyPhTKfuDHrgtVpump,profit,2jY6XYVK8ak8EeCU97s8242xnev5kvDjYeoFeVdQdXbNx3RUMJfwqRkn4Kq49NE3DQd3xq2mBzDX3WatynDLMk4z,2026-04-29T01:52:44+00:00,2026-04-29T01:56:25+00:00,0.042969803,0.041556000,221,high_range_entry,normal_holding,efficient_take_profit,,,,1.000000000,0.155854420,-0.124142417,0.993703743,0.108591874,data/strategy_research/wallets/55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr/klines/6sN3E4Dk1ZNn1spRcTvvNbfHsxGyPhTKfuDHrgtVpump_1m_1777426364_1777428985.json
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,HXYZgD8QoE3oGnXAdw1CztmDTDoygbuRU9ALTdX4pump,profit,fGKRciGfcxWUiSRMWRqGSqbbYmMKP8FKAyw17uZrGyS2oTTv6xdiy4zqpQkF1G8rb4xYvTGn6ihNrQjw96g71jB,2026-04-29T02:21:44+00:00,2026-04-29T02:22:41+00:00,0.012200982,0.024408000,57,breakout_volume_entry,large_drawdown_tolerated,efficient_take_profit,0.949897222,0.949897222,24.358863808,0.591562624,0.475950532,-0.487152457,0.858142260,-0.666719980,data/strategy_research/wallets/55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr/klines/HXYZgD8QoE3oGnXAdw1CztmDTDoygbuRU9ALTdX4pump_1m_1777428104_1777430561.json
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,9ch1JqNxqwKgpQnM3EcsTgF7NG8bF44j37wVyuuspump,profit,4xq8hENmjWTu9CCJc6X2crJRhzhzWDaNSBr97QB1vZ9guNbRYWfU87CmRwSrmLoK6c79BFqEpRgtCEJS95ovRFKg,2026-04-29T02:25:55+00:00,2026-04-29T02:26:43+00:00,0.010664886,0.020094000,48,unclear_entry,very_short_holding,efficient_take_profit,0.121719006,0.121719006,0.492011400,0.310313970,0.047494867,-0.107086461,0.983181290,-0.018363271,data/strategy_research/wallets/55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr/klines/9ch1JqNxqwKgpQnM3EcsTgF7NG8bF44j37wVyuuspump_1m_1777428355_1777430803.json
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,9uaNxDribD1UC7MUXQogBVdUscQBVHBuCzh5PrJ5pump,profit,3HEe8eWK6vZEZEQGxKSB8XnBNisNzVRpMVwmSHG4Avgj1iwqs5wewHuG3i3dCQt5MeEEGbgdDNzsEEAyGDMWYobr,2026-04-29T02:39:01+00:00,2026-04-29T02:39:30+00:00,0.019945963,0.043211000,29,breakout_volume_entry,large_drawdown_tolerated,efficient_take_profit,-0.157549883,-0.157549883,3.199058436,0.715116838,0.294346638,-0.428735540,0.772590565,-0.759928460,data/strategy_research/wallets/55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr/klines/9uaNxDribD1UC7MUXQogBVdUscQBVHBuCzh5PrJ5pump_1m_1777429141_1777431570.json
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,3pbggCjSuDLSB4iQ4v1Uc6HjbMT1hGqBd8AMKNxUpump,profit,2FeydTc3HEzsJuRzk4duavA2nNknUXWi4B4kLNGJJCMn1MAXtFaB4zYLUeWMaJbUGX27Xgj1ztAkYrwH4FEGpsMD,2026-04-29T02:45:12+00:00,2026-04-29T02:46:23+00:00,0.969017774,1.673030000,71,high_range_entry,large_drawdown_tolerated,pullback_take_profit,,,,0.897656383,0.093690173,-0.821756981,0.311588977,-0.527824679,data/strategy_research/wallets/55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr/klines/3pbggCjSuDLSB4iQ4v1Uc6HjbMT1hGqBd8AMKNxUpump_1m_1777429512_1777431983.json
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,BDDumgWwRv5zynmmjxKALavMAHgPh6UocJRQs6Hmpump,profit,gnDxPc8Er4dzh6kgRqcYrzYZE5pPk6CXvgUcNEFryGN7XHVyeoRog883Rty4YNzFFwEBu2LgBY9VqNSsbsC3z2A,2026-04-29T03:01:55+00:00,2026-04-29T03:03:56+00:00,1.105070030,1.807767000,121,unclear_entry,fast_runup_holding,pullback_take_profit,,,,0.724574104,2.305101855,-0.697499392,0.623919888,0.264648169,data/strategy_research/wallets/55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr/klines/BDDumgWwRv5zynmmjxKALavMAHgPh6UocJRQs6Hmpump_1m_1777430515_1777433036.json
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,H6SBg5q554YUFBwh3LqZJgfMxX4eofPdh9RXHFpBpump,profit,3PJFXu8MFGDX7X2YdgwaicvjNWiAm4YV4bhQ5vYU1vXrX9GyeWFmCLTpXpBjNkB8EUZCE5f9aGpNciJKe3d6UEmx,2026-04-29T03:03:25+00:00,2026-04-29T03:04:34+00:00,0.305137303,0.504028000,69,high_range_entry,large_drawdown_tolerated,efficient_take_profit,,,,0.995824216,0.498143390,-0.758123146,0.911386368,1.313263427,data/strategy_research/wallets/55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr/klines/H6SBg5q554YUFBwh3LqZJgfMxX4eofPdh9RXHFpBpump_1m_1777430605_1777433074.json
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,3H3kqqdFWLiJ39FP2u1P7Nw3tsTyCMrB4AX5XRX74YWc,loss,4r2XRXz8SQh1wmcBkCm15u7ib5ykMBBY6CwWoHx1J1XpJ9Q3wcaVDwKBBjoY7yjD6b8c2itDtjoosod6UbWTBxqa,2026-04-29T03:10:03+00:00,2026-04-29T03:12:36+00:00,-0.196448795,-0.193030000,153,unclear_entry,adds_with_profit_potential,effective_risk_exit,-0.246816557,-0.246816557,1.295547547,0.355669436,0.993209882,-0.259514825,0.427944207,-0.356827122,data/strategy_research/wallets/55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr/klines/3H3kqqdFWLiJ39FP2u1P7Nw3tsTyCMrB4AX5XRX74YWc_1m_1777431003_1777433556.json
55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,82yiAogGB4nr6JqmwPn1fqKGP59Q7DsEqvkn9zxopump,profit,5oKmTiZ6gsRpHb9awpb3NzakMcqbWV6f7VGfu1pf6ZZKQDnwY2GQYCPi4h49stN4wfF6F3mbHbAMbRWCvfRw6v2v,2026-04-29T03:12:10+00:00,2026-04-29T03:12:29+00:00,0.043865924,0.083943000,19,unclear_entry,fast_runup_holding,pullback_take_profit,,,,0.289858857,0.857031138,-0.349815059,0.538493932,-0.363318956,data/strategy_research/wallets/55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr/klines/82yiAogGB4nr6JqmwPn1fqKGP59Q7DsEqvkn9zxopump_1m_1777431130_1777433549.json
